BorrowerID,MemberID,TransactionDate
1,103,2024-03-01
2,118,2024-03-02
3,125,2024-03-03
4,108,2024-03-04
5,112,2024-03-05
6,120,2024-03-06
7,198,2024-03-07
8,105,2024-03-08
9,130,2024-03-09
10,106,2024-03-10
11,195,2024-03-11
12,199,2024-03-12
13,109,2024-03-13
14,115,2024-03-14
15,102,2024-03-15
16,197,2024-03-16
17,113,2024-03-17
18,132,2024-03-18
19,114,2024-03-19
20,110,2024-03-20
21,131,2024-03-21
22,117,2024-03-22
23,124,2024-03-23
24,104,2024-03-24
25,116,2024-03-25
26,128,2024-03-26
27,121,2024-03-27
28,198,2024-03-28
29,107,2024-03-29
30,127,2024-03-30
31,196,2024-03-31
32,122,2024-03-01
33,111,2024-03-02
34,129,2024-03-03
35,198,2024-03-04
36,123,2024-03-05
37,101,2024-03-06
38,198,2024-03-07
39,119,2024-03-08
40,198,2024-03-09
41,198,2024-03-10
42,126,2024-03-11
43,198,2024-03-12
44,198,2024-03-13
45,198,2024-03-14
46,198,2024-03-15
47,198,2024-03-16
48,198,2024-03-17
49,198,2024-03-18
50,198,2024-03-19
51,198,2024-03-20
52,198,2024-03-21
53,198,2024-03-22
54,198,2024-03-23
55,198,2024-03-24
56,198,2024-03-25
57,198,2024-03-26
58,198,2024-03-27
59,198,2024-03-28
60,198,2024-03-29
61,198,2024-03-30
62,198,2024-03-31
63,198,2024-03-01
64,198,2024-03-02
65,198,2024-03-03
66,198,2024-03-04
67,198,2024-03-05
68,198,2024-03-06
69,198,2024-03-07
70,198,2024-03-08
71,198,2024-03-09
72,198,2024-03-10
73,198,2024-03-11
74,198,2024-03-12
75,198,2024-03-13
76,198,2024-03-14
77,198,2024-03-15
78,198,2024-03-16
79,198,2024-03-17
80,198,2024-03-18
81,198,2024-03-19
82,198,2024-03-20
83,198,2024-03-21
84,198,2024-03-22
85,198,2024-03-23
86,198,2024-03-24
87,198,2024-03-25
88,198,2024-03-26
89,198,2024-03-27
90,198,2024-03-28
91,198,2024-03-29
92,198,2024-03-30
93,198,2024-03-31
94,198,2024-03-01
95,198,2024-03-02
96,198,2024-03-03
97,198,2024-03-04
98,198,2024-03-05
99,198,2024-03-06
100,198,2024-03-07
